Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
20,0.1,1,2080,0.009371981024742126
20,0.1,2,5007,0.23418563604354858
20,0.1,3,4424,0.40737804770469666
20,0.1,4,7520,0.4669734239578247
40,0.1,1,2688,0.00967244803905487
40,0.1,2,3164,0.008428111672401428
40,0.1,3,5080,0.23951846361160278
40,0.1,4,6989,0.08231181651353836
60,0.1,1,1798,0.008631929755210876
60,0.1,2,1747,0.009174980223178864
60,0.1,3,1791,0.009702906012535095
60,0.1,4,5279,0.14791986346244812
80,0.1,1,1819,0.007839538156986237
80,0.1,2,2018,0.00875978171825409
80,0.1,3,1746,0.009154647588729858
80,0.1,4,5290,0.13823795318603516
100,0.1,1,1347,0.009496994316577911
100,0.1,2,1824,0.009139381349086761
100,0.1,3,2723,0.009774856269359589
100,0.1,4,6621,0.18217280507087708
120,0.1,1,2129,0.009442493319511414
120,0.1,2,1953,0.009941548109054565
120,0.1,3,2252,0.009529314935207367
120,0.1,4,2717,0.00819426029920578
140,0.1,1,1597,0.009822085499763489
140,0.1,2,2090,0.009242847561836243
140,0.1,3,1726,0.009943164885044098
140,0.1,4,2307,0.00866912305355072
160,0.1,1,1825,0.00847073644399643
160,0.1,2,1749,0.00806097686290741
160,0.1,3,2429,0.009524241089820862
160,0.1,4,1977,0.009267427027225494
180,0.1,1,1321,0.009931616485118866
180,0.1,2,2279,0.009798511862754822
180,0.1,3,2676,0.00853760540485382
180,0.1,4,1567,0.009353458881378174
