Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
3,0.1,1,54,0.007477446459233761
3,0.1,2,1395,0.009887916967272758
3,0.1,3,1783,0.008902637287974358
3,0.1,4,1323,0.006655716337263584
6,0.1,1,190,0.009924608282744884
6,0.1,2,733,0.008824117481708527
6,0.1,3,1762,0.008996863849461079
6,0.1,4,1161,0.008957771584391594
9,0.1,1,108,0.009125502780079842
9,0.1,2,295,0.008623365312814713
9,0.1,3,1269,0.009576939977705479
9,0.1,4,2009,0.009304621256887913
12,0.1,1,335,0.009256097488105297
12,0.1,2,1002,0.00995759665966034
12,0.1,3,1656,0.008451730012893677
12,0.1,4,1416,0.009483706206083298
15,0.1,1,510,0.007886886596679688
15,0.1,2,1590,0.00879225879907608
15,0.1,3,793,0.008767064660787582
15,0.1,4,1592,0.008663346990942955
18,0.1,1,118,0.009036879986524582
18,0.1,2,512,0.009431574493646622
18,0.1,3,1220,0.0074318088591098785
18,0.1,4,2261,0.007723276503384113
21,0.1,1,306,0.009166892617940903
21,0.1,2,939,0.00818136427551508
21,0.1,3,1154,0.008428278379142284
21,0.1,4,1336,0.008114205673336983
24,0.1,1,299,0.008248304016888142
24,0.1,2,1135,0.009229658171534538
24,0.1,3,1585,0.009216425009071827
24,0.1,4,1058,0.004218701273202896
27,0.1,1,178,0.00972705613821745
27,0.1,2,948,0.0038352888077497482
27,0.1,3,1169,0.008650706149637699
27,0.1,4,660,0.008617246523499489
