Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
5,0.1,1,622,0.009968917816877365
5,0.1,2,871,0.008594535291194916
5,0.1,3,3962,0.15884768962860107
5,0.1,4,5332,0.16660283505916595
10,0.1,1,1199,0.009138623252511024
10,0.1,2,818,0.007539056241512299
10,0.1,3,1616,0.009421469643712044
10,0.1,4,3844,0.1508197784423828
15,0.1,1,762,0.009838856756687164
15,0.1,2,1995,0.00894385389983654
15,0.1,3,774,0.008302170783281326
15,0.1,4,5557,0.20565538108348846
20,0.1,1,667,0.009128643199801445
20,0.1,2,1454,0.009452374652028084
20,0.1,3,1207,0.008893914520740509
20,0.1,4,3763,0.19275988638401031
25,0.1,1,1150,0.007576907053589821
25,0.1,2,1246,0.009641630575060844
25,0.1,3,2025,0.009637441486120224
25,0.1,4,1605,0.006630321964621544
30,0.1,1,1077,0.009994365274906158
30,0.1,2,676,0.009326430037617683
30,0.1,3,1382,0.008714953437447548
30,0.1,4,1462,0.008293580263853073
35,0.1,1,1812,0.009557213634252548
35,0.1,2,915,0.009643623605370522
35,0.1,3,1412,0.009699253365397453
35,0.1,4,1830,0.008415086194872856
40,0.1,1,1229,0.007532087154686451
40,0.1,2,792,0.009280584752559662
40,0.1,3,1815,0.007234551012516022
40,0.1,4,1832,0.00987677089869976
45,0.1,1,1938,0.009630916640162468
45,0.1,2,1266,0.009752204641699791
45,0.1,3,1290,0.006983784958720207
45,0.1,4,1625,0.009850293397903442
