Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
4,0.1,1,1436,0.008482764475047588
4,0.1,2,741,0.009029182605445385
4,0.1,3,4225,0.22783392667770386
4,0.1,4,4860,0.20584401488304138
8,0.1,1,777,0.007334413938224316
8,0.1,2,913,0.007518360391259193
8,0.1,3,1342,0.009747115895152092
8,0.1,4,2284,0.009464135393500328
12,0.1,1,635,0.008174770511686802
12,0.1,2,1600,0.008945489302277565
12,0.1,3,1305,0.005803942680358887
12,0.1,4,709,0.00749797560274601
16,0.1,1,1149,0.008243927732110023
16,0.1,2,1212,0.009760532528162003
16,0.1,3,1352,0.008117560297250748
16,0.1,4,3775,0.17692899703979492
20,0.1,1,809,0.009707641787827015
20,0.1,2,1131,0.007355198264122009
20,0.1,3,1608,0.008794717490673065
20,0.1,4,1108,0.00799771398305893
24,0.1,1,983,0.008301323279738426
24,0.1,2,878,0.009025280363857746
24,0.1,3,886,0.007833054289221764
24,0.1,4,1244,0.007876947522163391
28,0.1,1,1098,0.00849287398159504
28,0.1,2,1351,0.009115904569625854
28,0.1,3,1047,0.009461263194680214
28,0.1,4,1391,0.009433150291442871
32,0.1,1,1604,0.008832640945911407
32,0.1,2,1058,0.006139899604022503
32,0.1,3,690,0.007592515088617802
32,0.1,4,733,0.008869783952832222
36,0.1,1,1433,0.006501924246549606
36,0.1,2,1163,0.008737092837691307
36,0.1,3,1197,0.00934569537639618
36,0.1,4,2009,0.00904986634850502
