Hidden Dim,Learning Rate,Num Layers,Epoch,Loss
10,0.1,1,736,0.007427148520946503
10,0.1,2,5306,0.15983179211616516
10,0.1,3,4022,0.361783504486084
10,0.1,4,5079,0.4686152935028076
20,0.1,1,863,0.009976319968700409
20,0.1,2,2501,0.009190298616886139
20,0.1,3,5370,0.09754073619842529
20,0.1,4,5328,0.3218229115009308
30,0.1,1,1129,0.008561167865991592
30,0.1,2,2846,0.009853273630142212
30,0.1,3,2040,0.00850217416882515
30,0.1,4,6107,0.09609341621398926
40,0.1,1,1819,0.009688124060630798
40,0.1,2,1351,0.009539056569337845
40,0.1,3,1974,0.009933043271303177
40,0.1,4,1603,0.00949501246213913
50,0.1,1,1808,0.008945584297180176
50,0.1,2,2422,0.009583059698343277
50,0.1,3,1678,0.008921578526496887
50,0.1,4,1622,0.007756806910037994
60,0.1,1,2834,0.00853024423122406
60,0.1,2,2129,0.005931001156568527
60,0.1,3,1326,0.007393576204776764
60,0.1,4,1619,0.008910603821277618
70,0.1,1,2358,0.008606474846601486
70,0.1,2,1757,0.008708104491233826
70,0.1,3,1877,0.008660878986120224
70,0.1,4,1474,0.009535130113363266
80,0.1,1,1288,0.0074265338480472565
80,0.1,2,1977,0.008722547441720963
80,0.1,3,1794,0.00862046703696251
80,0.1,4,2267,0.008948929607868195
90,0.1,1,1635,0.009424172341823578
90,0.1,2,1574,0.008924182504415512
90,0.1,3,1647,0.007803961634635925
90,0.1,4,1827,0.008300833404064178
